id,intitule,entreprise,lieu,departement,contrat,experience,salaire,date_publication,rome,competences,url
214CTPQ,Chargé(e) de développement commercial et communication digitale (H/F),S.R.C.,France,99,CDI,Débutant accepté,Mensuel de 1865.0 Euros,2026-09-19,M1718,Analyser les besoins des utilisateurs pour la création de contenus multimédias | Concevoir des supports de communication et d'image | Mesurer le retour sur investissement d'une action marketing | Optimiser la visibilité des publications sur les réseaux sociaux | Savoir gérer plusieurs projets ou activités simultanément,https://candidat.francetravail.fr/offres/recherche/detail/214CTPQ
213YBWR,GROWTH MARKETER H/F (H/F),JUNGHEINRICH FRANCE,78 - Vélizy-Villacoublay,78,CDI,2 An(s),,2026-09-16,M1718,Concevoir des supports de communication et d'image | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/213YBWR
213RFXS,CHARGE(E) D'ACQUISITION ET SUIVI CLIENT - B2B IT (H/F),ZEETIM,94 - VITRY SUR SEINE,94,CDI,3 An(s),Annuel de 40000.0 Euros à 50000.0 Euros,2026-09-10,M1718,Assurer la gestion administrative d'une activité,https://candidat.francetravail.fr/offres/recherche/detail/213RFXS
213QKXN,Analyste Solutions digitales Service Clients (H/F),NEXTLINK FRANCE,92 - Issy-les-Moulineaux,92,CDD,3 An(s),Annuel de 35000.0 Euros à 45000.0 Euros,2026-09-09,M1718,,https://candidat.francetravail.fr/offres/recherche/detail/213QKXN
213DRLV,Responsable acquisition digitale et growth (H/F),ASS FONDATION ETUDIANTE POUR LA VILLE,75 - PARIS,75,CDD,3 An(s),Mensuel de 2892.0 Euros à 3032.0 Euros sur 12 mois,2026-08-31,M1718,Concevoir des supports de communication et d'image | Effectuer un reporting régulier à la hiérarchie | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/213DRLV
212STFY,Growth Marketeur(se) (H/F),SPREADING APPS,76 - Le Petit-Quevilly,76,CDI,3 Mois,,2026-08-21,M1716,Analyser les tendances de consommation des clients | Concevoir des modèles de détection des insights consommateurs | Elaborer une stratégie de marketing digital | Mener une campagne d'e-mailing | Négocier des conditions commerciales,https://candidat.francetravail.fr/offres/recherche/detail/212STFY
212JGBT,Growth & Automation Manager (H/F),ADEKWATTS,France,99,CDI,2 An(s),"Annuel de 45000.0 Euros à 60000.0 Euros - accord d intéressement, mutuelle 100% prise en charge, primes annuelles, Télétravail complet, Séminaire annuel.",2026-08-11,M1716,Analyser les tendances de consommation des clients | Concevoir des modèles de détection des insights consommateurs | Elaborer une stratégie de marketing digital | Mener une campagne d'e-mailing | Négocier des conditions commerciales | FABRICATION D'AGENTS IA,https://candidat.francetravail.fr/offres/recherche/detail/212JGBT
212BJVM,Apprenti(e) Responsable d'activité commerciale et MarketingH/F,,34 - Béziers,34,CDD,Débutant accepté,Horaire de 12.31 Euros - % du smic selon l'âge,2026-08-04,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/212BJVM
211HCPS,Customer Growth & Intelligence Manager (H/F/X) (H/F),EDITIONS TECHNIQUES POUR L'AUTOMOBILE ET,94 - GENTILLY,94,CDI,8 An(s),,2026-07-16,M1718,Marketing des réseaux sociaux | Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Concevoir des visuels pour des campagnes publicitaires | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/211HCPS
213MTFK,CHARGE D'ACQUISITION DIGITIALE (H/F),PLANET FITNESS,13 - AIX EN PROVENCE,13,CDI,2 An(s),Mensuel de 2800.0 Euros à 2820.0 Euros,2026-09-07,M1718,Concevoir des supports de communication et d'image | Effectuer un reporting régulier à la hiérarchie | Mettre en place des solutions d'amélioration de la performance | Optimiser la visibilité des publications sur les réseaux sociaux,https://candidat.francetravail.fr/offres/recherche/detail/213MTFK
212PFYN,CHARGE D ACQUISITION DIGITALE MARKETPLACE H/F (H/F),LEBRUN SA,62 - ARQUES,62,CDI,Débutant accepté,,2026-08-18,M1718,Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Mettre en place des solutions d'amélioration de la performance,https://candidat.francetravail.fr/offres/recherche/detail/212PFYN
210MQLM,Senior User Acquisition Manager (H/F),MILLION VICTORIES,69 - LYON,69,CDI,6 An(s) - Dans le secteur du JV,Annuel de 50000.0 Euros à 60000.0 Euros sur 12 mois,2026-06-30,M1718,Effectuer un reporting régulier à la hiérarchie | Concevoir des supports de communication et d'image | Optimiser la visibilité des publications sur les réseaux sociaux | Mettre en place des solutions d'amélioration de la performance,https://candidat.francetravail.fr/offres/recherche/detail/210MQLM
214FBYG,Responsable adjoint(e) - Gestion de projet & communication (H/F),EDEN GARDEN,06 - NICE,06,CDI,2 An(s),,2026-09-21,E1109,"Normes rédactionnelles | Techniques d'ingénierie et de conduite de projets | Techniques de communication orales, écrites et numériques | Création de contenu | Organisation d'événements | Gestion de projet | Marketing digital | Management et organisation",https://candidat.francetravail.fr/offres/recherche/detail/214FBYG
214DQZC,CHARGE DE COMMUNICATION/MARKETING (H/F),FMI FLORIAN MANTIONE INSTITUT,34 - Béziers,34,CDI,5 An(s),Annuel de 24000.0 Euros à 32000.0 Euros,2026-09-21,E1112,"Concevoir des supports de communication audiovisuels | Mettre en oeuvre des actions de communication | Réaliser des actions de relation publique, de diffusion et de promotion de l'information | Rédiger le contenu d'un support de communication",https://candidat.francetravail.fr/offres/recherche/detail/214DQZC
213WBNX,Chargé de campagnes CRM F/H (H/F),,92 - PUTEAUX,92,CDI,"2 An(s) - Marketing, CRM, Campagnes",,2026-09-14,E1112,"Concevoir des supports de communication audiovisuels | Mettre en oeuvre des actions de communication | Réaliser des actions de relation publique, de diffusion et de promotion de l'information | Rédiger le contenu d'un support de communication",https://candidat.francetravail.fr/offres/recherche/detail/213WBNX
213TZMH,Chef de projet Communication (H/F),GERESO,75 - Paris 14e Arrondissement,75,CDI,4 An(s),Annuel de 35000.0 Euros à 40000.0 Euros,2026-09-14,E1112,"Diplôme de journaliste | Diplôme supérieur en marketing et communication | Documents (catalogue, revue de presse, ...) | Excellente culture digitale (Internet et réseaux sociaux, publicité online, outils collaboratifs…), marketing et commerciale (marketing direct, CRM, produits…) | Normes rédactionnelles | Organisation d'évènements professionnels | Techniques de communication orales, écrites et numériques | Techniques d'interview | Concevoir des présentations pour des réunions stratégiques | Concevoir des supports de communication audiovisuels | Développer des stratégies de contenu pour différents publics | Gérer les relations avec les médias, les partenaires et les autres services | Mettre en oeuvre des actions de communication | Organiser des manifestations et des événements internes ou externes destinés aux clients, aux collaborateurs ou au personnel de l'entreprise | Réaliser des actions de relation publique, de diffusion et de promotion de l'information | Rédiger le contenu d'un support de communication | Surveiller les tendances du marché digital",https://candidat.francetravail.fr/offres/recherche/detail/213TZMH
213RRVB,ALTERNANCE Assistant Communication & Community Management (H/F),ALBON,26 - SAINT-RAMBERT-D'ALBON,26,CDD,Débutant accepté - Niveau d'étude minimum Bac+3,,2026-09-10,E1101,"Animer un réseau, une communauté | Analyser des échanges communautaires en ligne",https://candidat.francetravail.fr/offres/recherche/detail/213RRVB
213QRJF,Commercial de vente et community manager (H/F),MUTANTU KABULO SARAH,75 - PARIS,75,CDI,Débutant accepté,Mensuel de 2180.0 Euros,2026-09-09,D1406,"Développer un portefeuille clients et prospects | Elaborer une stratégie commerciale | Elaborer, suivre et piloter un budget | Animer, coordonner une équipe",https://candidat.francetravail.fr/offres/recherche/detail/213QRJF
213QJPY,Chargé(e) de communication digitale - CDI (H/F),CVEDUCATION,92 - COURBEVOIE,92,CDI,1 An(s),Mensuel de 1868.0 Euros à 2300.0 Euros,2026-09-09,E1112,"Excellente culture digitale (Internet et réseaux sociaux, publicité online, outils collaboratifs…), marketing et commerciale (marketing direct, CRM, produits…) | Optimisation SEO pour le multimédia | Administrer un site web | Concevoir des présentations pour des réunions stratégiques | Concevoir des supports de communication audiovisuels | Evaluer l'e-réputation d'un site web | Mettre en oeuvre des actions de communication | Optimiser le référencement naturel (SEO) des sites web | Optimiser les campagnes de communication digitale | Optimiser les performances d'un site web | Réaliser des actions de relation publique, de diffusion et de promotion de l'information | Réaliser des supports de communication multimédia | Réaliser la mise à jour d'un site web | Rédiger le contenu d'un support de communication | Surveiller les tendances du marché digital | Utiliser l'anglais dans un contexte professionnel | Veiller à la cohérence de l'image de l'entreprise sur l'ensemble des déclinaisons de la communication et des supports (éditorial, Web, Intranet, événements, médias, réseaux sociaux)",https://candidat.francetravail.fr/offres/recherche/detail/213QJPY
